FO_team,CFBData_team
Air Force,Air Force
Akron,Akron
Alabama,Alabama
Appalachian State,Appalachian State
Arizona,Arizona
Arizona State,Arizona State
Arkansas,Arkansas
Arkansas State,Arkansas State
Army,Army
Auburn,Auburn
Ball State,Ball State
Baylor,Baylor
Boise State,Boise State
Boston College,Boston College
Bowling Green,Bowling Green
Buffalo,Buffalo
BYU,BYU
California,California
Central Florida,UCF
Central Michigan,Central Michigan
Charlotte,Charlotte
Cincinnati,Cincinnati
Clemson,Clemson
Coastal Carolina,Coastal Carolina
Colorado,Colorado
Colorado State,Colorado State
Connecticut,Connecticut
Duke,Duke
East Carolina,East Carolina
Eastern Michigan,Eastern Michigan
Florida,Florida
Florida Atlantic,Florida Atlantic
Florida International,Florida International
Florida State,Florida State
Fresno State,Fresno State
Georgia,Georgia
Georgia Southern,Georgia Southern
Georgia State,Georgia State
Georgia Tech,Georgia Tech
Hawaii,Hawai'i
Houston,Houston
Illinois,Illinois
Indiana,Indiana
Iowa,Iowa
Iowa State,Iowa State
Kansas,Kansas
Kansas State,Kansas State
Kent State,Kent State
Kentucky,Kentucky
Liberty,Liberty
Louisiana Lafayette,Lafayette
Louisiana Monroe,Louisiana Monroe
Louisiana Tech,Louisiana Tech
Louisville,Louisville
LSU,LSU
Marshall,Marshall
Maryland,Maryland
Massachusetts,UMass
Memphis,Memphis
Miami,Miami
Miami (OH),Miami (OH)
Michigan,Michigan
Michigan State,Michigan State
Middle Tennessee,Middle Tennessee
Minnesota,Minnesota
Mississippi,Ole Miss
Mississippi State,Mississippi State
Missouri,Missouri
Navy,Navy
Nebraska,Nebraska
Nevada,Nevada
New Mexico,New Mexico
New Mexico State,New Mexico State
North Carolina,North Carolina
North Carolina State,NC State
North Texas,North Texas
Northern Illinois,Northern Illinois
Northwestern,Northwestern
Notre Dame,Notre Dame
Ohio,Ohio
Ohio State,Ohio State
Oklahoma,Oklahoma
Oklahoma State,Oklahoma State
Old Dominion,Old Dominion
Oregon,Oregon
Oregon State,Oregon State
Penn State,Penn State
Pittsburgh,Pittsburgh
Purdue,Purdue
Rice,Rice
Rutgers,Rutgers
San Diego State,San Diego State
San Jose State,San José State
SMU,SMU
South Alabama,South Alabama
South Carolina,South Carolina
South Florida,South Florida
Southern Mississippi,Southern Mississippi
Stanford,Stanford
Syracuse,Syracuse
TCU,TCU
Temple,Temple
Tennessee,Tennessee
Texas,Texas
Texas A&M,Texas A&M
Texas State,Texas State
Texas Tech,Texas Tech
Toledo,Toledo
Troy,Troy
Tulane,Tulane
Tulsa,Tulsa
UAB,UAB
UCLA,UCLA
UNLV,UNLV
USC,USC
Utah,Utah
Utah State,Utah State
UTEP,UTEP
UTSA,UT San Antonio
Vanderbilt,Vanderbilt
Virginia,Virginia
Virginia Tech,Virginia Tech
Wake Forest,Wake Forest
Washington,Washington
Washington State,Washington State
West Virginia,West Virginia
Western Kentucky,Western Kentucky
Western Michigan,Western Michigan
Wisconsin,Wisconsin
Wyoming,Wyoming
